Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg)
4,Kallakurichi,delux ponni,alluvial,85,46.7,wet,69,3,148,8,98.82,40.8,49,2025,18.7,21.3,185.7,272.3,165.9,251.2,60.3,64.7,19.5,33,17.6,32,16.9,32.3,15.8,32.8,9,6,9,7,W,WNW,SE,S,79.3,91,82,84,266,21124
4,Sankarapuram,delux ponni,clay,116,53.6,wet,93,5,191,9,121.31,49.81,69,2760,18.5,21.4,186.8,271.3,166.7,250.3,60.7,64.3,20.2,33,18.0,31,17.5,33.7,16.3,33.2,10,9,10,11,SSE,W,SW,SSE,67.6,86,85,84,388,25523
3,Panruti,CO_43,clay,70,36.8,dry,56,3,111,6,70.56,26.8,41,1730,18.9,21.2,185.7,272.3,165.8,251.2,60.2,64.8,19.3,34,17.1,31,16.7,32.3,16.6,32.9,6,10,7,10,W,NE,SW,S,80.1,91,85,83,249,17027
4,Sankarapuram,delux ponni,clay,109,54.9,dry,86,4,175,9,110.2,46.37,64,2506,18.3,21.7,185.8,272.2,166.2,250.7,60.4,64.6,20.3,32,17.2,29,17.7,33.7,16.5,34.8,9,12,10,12,SSE,W,SW,NW,74.4,88,85,82,347,27108
4,Kurinjipadi,CO_43,clay,95,46.5,wet,75,3,152,8,95.62,37.57,52,2393,19.3,20.6,187.0,271.0,166.8,250.2,60.9,64.1,18.9,33,17.6,33,16.2,32.3,16.3,31.6,7,7,8,9,NW,W,NNW,SSE,69.3,83,87,85,318,22768
5,Panruti,CO_43,clay,126,59.8,wet,102,5,207,10,143.32,54.38,78,3116,18.2,21.8,185.4,272.6,165.5,251.4,60.1,64.9,20.3,34,17.9,29,17.8,33.9,17.6,34.1,6,12,7,12,SSE,NE,NNE,W,77.9,94,84,80,437,31705
2,Kallakurichi,ponmani,clay,44,21.8,wet,35,2,67,3,47.79,17.24,26,1032,19.0,21.1,186.1,271.8,166.2,250.9,60.5,64.5,19.1,33,16.9,31,16.3,32.0,16.4,32.7,6,8,7,8,E,W,SE,S,77.5,88,86,84,178,10846
4,Chinnasalem,delux ponni,alluvial,108,54.6,dry,91,4,195,9,126.05,51.13,66,2569,18.9,21.0,185.9,272.1,166.0,250.8,60.4,64.6,19.0,34,16.5,31,15.9,32.3,16.8,32.5,4,10,5,11,ENE,NE,NNE,W,77.3,85,89,82,415,26740
3,Sankarapuram,delux ponni,clay,78,40.1,dry,60,3,122,6,75.3,30.58,48,1905,18.7,21.2,185.7,272.3,165.8,251.2,60.2,64.7,19.4,34,17.1,31,16.7,32.4,16.6,33.0,6,10,7,10,SW,W,NNE,WSW,79.6,90,85,83,259,17822
5,Panruti,delux ponni,clay,114,54.0,wet,90,4,180,9,112.39,46.2,67,2608,18.6,21.3,185.5,272.4,165.7,251.3,60.2,64.8,19.6,34,17.1,30,16.8,32.9,17.1,33.0,5,11,6,11,ENE,NE,NNE,W,80.8,91,87,82,423,27128
2,Kallakurichi,CO_43,clay,46,23.8,dry,35,2,69,4,41.73,16.54,27,1154,18.8,21.2,185.4,272.6,165.4,251.6,60.0,64.9,19.1,34,17.1,31,16.4,31.9,16.6,32.6,6,9,6,9,W,WNW,SE,S,84.1,93,84,83,156,10039
3,Sankarapuram,ponmani,clay,69,33.4,dry,56,3,109,5,77.5,28.15,39,1544,18.3,21.6,185.9,272.0,166.2,250.9,60.4,64.6,19.8,32,16.7,30,16.8,33.3,16.2,33.9,8,10,9,11,ENE,W,SW,NW,75.1,87,87,84,252,18138
4,Panruti,ponmani,clay,103,52.6,wet,81,4,145,7,109.32,42.35,61,2199,18.6,21.5,185.7,272.4,165.9,251.1,60.4,64.8,18.9,34,16.6,32,16.1,32.8,16.6,32.2,5,9,6,10,ENE,NE,NE,W,78.6,89,88,83,386,23143
3,Panruti,delux ponni,alluvial,82,39.9,dry,66,3,135,7,94.87,34.95,53,2046,18.5,21.6,185.4,272.7,165.5,251.5,60.1,64.9,19.6,33,17.3,31,17.1,32.9,16.6,33.1,7,10,7,9,W,NE,SE,NW,83.3,94,83,82,286,20725
4,Kallakurichi,delux ponni,alluvial,97,48.5,dry,77,4,155,7,105.16,40.21,59,2361,19.2,20.9,186.0,271.8,166.2,250.9,60.4,64.6,19.4,34,18.1,33,16.9,32.6,16.3,31.3,9,6,8,7,NW,NE,SE,SSE,73.7,91,83,84,314,23597
2,Kurinjipadi,delux ponni,clay,59,31.1,wet,49,2,103,5,68.95,24.33,38,1637,19.0,20.9,186.1,272.0,166.1,251.0,60.5,64.5,19.5,34,18.0,32,16.9,33.0,17.1,31.9,7,9,7,10,NW,NE,NNE,SSE,73.1,92,85,82,221,15944
3,Chinnasalem,ponmani,clay,82,40.1,dry,63,3,131,6,94.14,32.81,47,1902,18.1,21.9,185.7,272.3,166.2,250.8,60.3,64.7,18.2,31,15.6,33,15.2,33.6,15.1,32.2,7,8,8,11,E,ENE,NE,NNW,74.6,81,91,88,306,21007
3,Sankarapuram,CO_43,clay,88,43.0,dry,69,3,140,7,93.14,34.51,52,2104,19.2,20.7,187.1,270.9,167.0,250.0,60.9,64.1,20.2,33,18.1,32,17.5,33.3,16.2,32.8,10,9,10,10,SSE,W,SW,NW,66.3,87,84,84,319,19732
3,Kurinjipadi,delux ponni,clay,69,34.2,dry,52,3,110,5,69.12,28.72,41,1569,18.7,21.4,186.6,271.4,166.7,250.4,60.7,64.3,19.7,33,17.6,32,17.0,33.4,16.2,32.5,9,8,9,9,NW,S,SW,NW,69.4,86,87,85,222,16202
4,Sankarapuram,delux ponni,alluvial,83,45.5,wet,74,3,149,8,99.4,36.9,54,2105,19.0,21.0,186.5,271.6,166.6,250.5,60.6,64.3,19.5,33,16.7,30,16.9,32.4,16.5,33.7,7,10,9,10,SSE,W,SW,WSW,75.6,85,85,83,281,22244
2,Kurinjipadi,delux ponni,alluvial,66,30.5,dry,50,2,104,5,66.74,25.78,38,1577,19.6,20.5,187.2,270.8,167.0,250.0,61.0,64.0,19.0,34,17.2,33,16.1,31.6,16.1,31.7,6,7,9,8,SW,W,SE,WSW,67.7,81,87,85,207,14915
4,Sankarapuram,delux ponni,alluvial,94,46.4,dry,75,4,153,7,107.72,41.84,57,2213,18.4,21.6,186.0,271.8,166.4,250.6,60.5,64.5,20.2,33,17.9,30,17.7,33.6,16.2,33.5,10,9,10,10,SSE,W,SE,NW,71.6,90,83,83,324,23693
4,Chinnasalem,CO_43,clay,94,45.9,dry,76,4,145,7,92.94,34.79,55,2149,18.3,21.7,185.3,272.7,165.4,251.6,60.0,65.0,18.6,32,16.5,33,15.9,32.5,15.8,32.3,6,8,6,9,E,ENE,NE,S,85.4,93,85,84,307,22352
3,Kurinjipadi,ponmani,clay,80,42.1,wet,65,3,116,6,92.81,29.4,51,1851,19.3,20.7,186.6,271.3,166.6,250.5,60.7,64.3,19.2,33,17.7,33,16.4,32.1,16.4,31.4,8,6,8,7,NW,WNW,SE,SSE,71.7,89,85,85,316,19926
5,Sankarapuram,CO_43,clay,115,57.1,wet,93,4,184,9,125.72,48.31,68,2737,18.8,21.1,186.3,271.8,166.4,250.5,60.6,64.4,19.7,33,17.1,30,16.9,32.8,16.7,33.3,7,10,8,11,SSE,NE,NNW,WSW,74.8,87,86,83,407,29323
2,Panruti,delux ponni,alluvial,57,26.7,dry,45,2,81,4,49.33,21.12,31,1301,19.2,21.1,186.4,271.4,166.5,250.8,60.6,64.5,19.3,34,17.1,30,16.6,31.9,17.0,33.2,5,11,6,11,SW,W,NNE,WSW,78.4,87,86,82,186,10784
5,Chinnasalem,ponmani,clay,120,59.8,dry,95,5,192,10,135.56,51.12,74,2787,18.2,21.8,185.7,272.4,166.0,251.1,60.3,64.8,18.6,32,16.0,32,15.9,33.1,15.3,32.3,8,8,9,10,E,ENE,NE,NNW,78.8,84,89,87,459,31529
3,Panruti,delux ponni,clay,70,38.3,wet,58,3,122,6,82.54,31.73,43,1691,18.1,21.9,185.4,272.6,165.8,251.2,60.1,64.8,18.1,31,15.6,34,15.1,33.5,15.4,32.0,5,8,6,11,ENE,ENE,NE,NNW,79.1,83,92,87,277,17938
4,Kallakurichi,CO_43,clay,113,52.8,wet,93,4,175,9,118.12,44.24,68,2558,18.6,21.4,185.6,272.6,165.6,251.4,60.1,64.9,19.1,33,17.2,32,16.6,32.0,15.8,32.4,8,7,8,7,W,WNW,SE,S,83.2,91,83,85,370,26207
4,Sankarapuram,CO_43,clay,98,47.5,wet,80,4,162,7,105.14,43.91,57,2319,18.4,21.6,185.9,272.0,166.1,250.8,60.4,64.6,19.9,32,17.1,30,17.0,33.3,16.1,33.8,9,10,9,11,W,W,SW,S,75.9,88,85,83,317,24256
3,Kurinjipadi,ponmani,clay,93,43.7,wet,71,3,153,7,95.43,38.32,56,2143,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,20.0,34,18.5,35,17.4,33.4,16.2,30.6,10,4,10,6,NW,S,SE,SSE,64.7,87,84,87,321,20610
4,Kallakurichi,ponmani,clay,86,45.4,wet,71,4,137,7,93.48,37.9,55,2025,18.7,21.4,185.5,272.5,165.6,251.4,60.2,64.8,19.3,33,17.2,32,16.5,32.2,16.1,32.3,7,7,8,7,W,WNW,SE,S,82.9,91,84,84,357,20930
4,Sankarapuram,ponmani,clay,111,48.8,wet,83,4,172,8,108.34,42.98,59,2334,18.3,21.7,185.5,272.4,165.8,251.2,60.2,64.8,19.3,32,16.5,30,16.7,32.7,15.8,33.5,8,10,9,10,SSE,W,SW,NW,80.8,88,86,85,400,26533
5,Panruti,delux ponni,clay,123,59.0,dry,97,5,189,9,126.13,49.18,71,2850,18.6,21.5,185.3,272.7,165.4,251.6,60.0,65.0,19.6,34,17.6,31,17.0,33.0,17.6,32.7,4,11,5,11,ENE,NE,NNE,W,84.8,95,84,80,409,30472
3,Sankarapuram,CO_43,clay,83,44.8,dry,71,3,135,7,104.01,36.54,51,2102,19.0,20.9,186.5,271.5,166.5,250.5,60.7,64.3,19.6,33,18.0,33,16.8,32.8,16.2,31.9,9,5,10,7,SSE,S,SE,NW,70.0,88,84,85,326,21762
4,Panruti,ponmani,clay,114,56.3,dry,94,4,181,9,121.08,49.06,68,2655,18.6,21.5,185.7,272.3,165.8,251.2,60.3,64.8,19.3,34,17.0,31,16.4,33.0,17.1,32.8,5,10,5,11,ENE,NE,NNE,W,78.4,91,88,82,409,27121
5,Chinnasalem,delux ponni,clay,118,58.3,wet,94,5,183,9,129.7,48.67,69,2804,18.4,21.6,186.3,271.7,166.5,250.4,60.6,64.4,18.5,32,16.8,34,15.6,33.0,15.3,31.1,8,5,9,8,E,ENE,NE,NNW,70.9,83,89,87,433,28229
3,Kurinjipadi,CO_43,alluvial,75,39.4,dry,59,3,118,6,82.65,32.13,45,1846,19.0,21.0,186.6,271.4,166.7,250.3,60.8,64.2,18.9,33,17.9,34,16.3,32.6,15.7,31.0,9,5,9,7,NW,ENE,SE,SSE,69.1,86,86,87,246,18426
5,Sankarapuram,ponmani,alluvial,116,58.4,wet,97,5,184,9,130.72,48.51,74,2740,18.4,21.6,185.8,272.2,166.1,250.9,60.3,64.7,20.0,33,17.1,29,17.2,33.3,16.5,33.9,8,11,9,12,SSE,W,SW,NW,74.7,86,86,82,388,29006
4,Chinnasalem,delux ponni,clay,104,48.4,wet,85,4,155,8,105.36,41.04,62,2470,18.7,21.4,186.2,271.9,166.2,250.7,60.4,64.5,19.3,34,16.9,30,16.4,32.2,16.5,33.0,6,9,7,10,SW,W,SW,NW,76.2,84,87,83,339,23968
5,Chinnasalem,delux ponni,clay,110,56.4,wet,85,5,177,9,127.49,47.28,70,2766,18.1,21.9,185.5,272.5,166.1,250.8,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.3,5,5,8,10,E,ENE,NE,NNW,78.6,79,92,88,403,27474
5,Panruti,CO_43,clay,124,60.4,dry,100,5,195,9,121.82,50.57,71,2823,18.7,21.5,185.3,272.8,165.3,251.7,60.0,65.0,19.7,35,17.7,31,16.9,32.9,17.5,32.6,4,11,5,11,ENE,NE,NE,W,86.7,95,83,80,412,27549
3,Kurinjipadi,CO_43,alluvial,94,48.3,wet,74,4,155,7,98.12,36.94,55,2315,19.2,20.8,187.1,270.9,166.9,250.1,60.9,64.0,18.4,32,17.3,35,15.3,33.0,15.3,30.7,9,5,9,7,E,S,NE,SSE,65.6,82,91,88,297,21167
3,Cuddalore,ponmani,clay,73,37.5,wet,60,3,117,6,94.81,31.12,49,1729,18.9,21.2,186.1,272.0,166.2,250.8,60.5,64.6,18.8,33,16.4,32,15.9,31.8,15.8,32.1,6,7,8,8,SW,W,SE,WSW,78.4,85,86,85,302,19379
5,Chinnasalem,delux ponni,alluvial,131,65.8,wet,106,5,222,11,148.53,57.35,80,3197,18.2,21.8,185.3,272.6,165.6,251.5,60.1,64.9,18.4,31,15.9,33,15.5,32.3,15.1,32.2,8,6,9,7,W,ENE,SE,NNW,85.8,87,85,87,502,34423
5,Kallakurichi,ponmani,alluvial,110,55.2,wet,91,5,191,9,125.97,51.14,68,2611,18.3,21.5,185.4,272.6,165.6,251.4,60.1,64.8,19.2,33,16.9,32,16.6,32.3,15.6,32.9,8,7,9,7,W,W,SE,S,84.8,90,83,84,443,30120
3,Chinnasalem,ponmani,clay,60,33.4,wet,47,2,107,5,69.33,27.43,35,1484,18.1,21.9,185.7,272.3,166.2,250.7,60.4,64.7,18.1,31,15.6,34,15.1,33.5,15.1,31.8,8,6,8,11,E,ENE,NE,NNW,73.3,80,91,88,217,14417
3,Sankarapuram,CO_43,alluvial,76,35.4,dry,57,3,114,6,78.52,29.53,44,1732,18.6,21.4,186.2,272.2,166.3,250.7,60.4,64.6,19.8,33,17.3,29,17.4,33.1,16.7,33.8,8,11,8,11,SSE,W,SW,NW,75.5,88,85,82,249,16767
5,Kallakurichi,ponmani,alluvial,124,64.1,dry,100,5,195,10,138.03,50.21,77,3006,19.3,20.8,186.2,272.0,166.2,250.8,60.4,64.5,18.8,34,16.7,31,16.2,31.4,16.0,32.6,6,8,8,8,W,W,NNW,S,79.1,87,84,83,438,30522
4,Chinnasalem,CO_43,clay,103,52.2,dry,79,4,166,9,118.01,44.02,65,2483,18.2,21.7,185.8,272.2,166.2,250.8,60.4,64.7,19.3,32,16.6,32,16.6,33.4,15.6,33.1,9,8,9,10,E,ENE,SE,NW,75.5,87,87,85,372,27354
3,Kallakurichi,ponmani,clay,61,34.3,wet,52,2,112,6,75.47,29.67,39,1441,18.5,21.4,185.5,272.5,165.8,251.2,60.3,64.7,20.0,33,17.4,31,17.3,33.0,16.2,33.8,9,9,10,8,SSE,W,SE,S,79.6,91,82,82,225,14763
3,Sankarapuram,CO_43,clay,71,37.4,wet,60,3,120,6,87.07,32.11,46,1732,18.3,21.7,185.9,272.1,166.1,250.9,60.4,64.6,18.4,31,15.9,33,15.4,32.8,15.3,32.1,7,7,8,9,E,ENE,NE,NNW,76.2,83,90,87,288,18848
4,Kallakurichi,ponmani,clay,97,49.1,wet,80,4,169,8,116.12,44.06,60,2456,18.4,21.7,185.5,272.5,165.7,251.2,60.2,64.8,19.8,32,17.1,30,17.2,33.1,16.0,33.5,9,9,9,9,W,WNW,SE,SSE,80.9,92,83,83,396,26323
3,Cuddalore,ponmani,clay,88,42.9,dry,70,3,142,7,85.55,37.44,44,2050,19.5,20.5,187.0,270.9,166.8,250.2,60.9,64.1,19.3,35,17.1,31,16.3,31.8,17.2,32.3,4,10,6,11,SW,W,NNW,WSW,75.4,86,87,82,290,20105
5,Kurinjipadi,CO_43,clay,119,60.3,wet,98,5,187,10,133.86,48.08,73,2890,19.2,20.7,186.2,271.6,166.3,250.7,60.6,64.3,19.5,34,18.1,34,16.7,32.7,16.8,31.2,9,6,8,8,W,NE,SE,SSE,71.3,92,85,83,453,30161
4,Kurinjipadi,delux ponni,alluvial,116,55.8,wet,93,5,182,8,113.29,47.44,67,2607,18.6,21.4,186.4,271.6,166.5,250.5,60.5,64.4,20.0,33,17.8,31,17.4,33.4,16.4,33.1,9,10,9,11,ENE,S,SW,NW,70.7,88,85,83,406,26325
5,Chinnasalem,CO_43,clay,119,61.6,dry,99,5,199,10,127.67,50.96,73,2880,18.4,21.6,186.0,272.1,166.1,250.9,60.4,64.6,18.5,32,16.1,32,15.6,32.7,15.6,32.7,6,8,8,10,ENE,ENE,NNW,NNW,76.5,82,90,86,441,28385
3,Sankarapuram,ponmani,clay,81,39.0,wet,64,3,126,6,92.16,34.97,49,1892,19.0,21.0,186.8,271.2,166.7,250.3,60.8,64.2,19.9,33,16.8,29,17.0,32.5,16.4,34.1,7,11,9,11,SW,W,SW,NW,72.6,84,85,83,310,19722
5,Sankarapuram,CO_43,alluvial,115,55.9,dry,89,5,194,9,132.29,50.18,69,2858,18.6,21.4,186.4,271.5,166.7,250.3,60.7,64.3,20.3,33,18.3,31,17.8,33.9,16.8,32.7,10,10,10,11,NW,S,SE,NW,67.3,89,83,82,395,29767
5,Panruti,delux ponni,clay,135,65.2,wet,105,5,209,10,139.21,54.75,78,3144,18.9,21.1,186.2,271.8,166.1,250.8,60.4,64.5,19.2,33,17.6,33,16.4,32.6,16.1,31.6,8,7,8,7,ENE,S,SE,NNW,75.8,91,85,85,510,33046
5,Kurinjipadi,CO_43,clay,123,62.4,wet,99,5,194,10,136.09,50.7,74,2960,18.8,21.1,185.8,272.1,166.0,250.9,60.4,64.6,19.8,33,18.0,32,17.2,33.1,16.6,32.2,9,8,9,9,SSE,S,SE,S,74.0,91,83,83,452,30788
3,Cuddalore,CO_43,clay,73,35.5,wet,52,3,106,6,76.05,29.04,41,1807,19.5,20.5,187.1,270.9,166.9,250.1,60.9,64.1,19.0,34,17.1,31,16.1,31.6,16.8,32.3,4,9,7,10,SW,W,NNW,WSW,71.3,82,87,84,260,18021
4,Sankarapuram,ponmani,alluvial,116,53.8,wet,89,5,189,9,131.7,51.61,69,2558,18.1,21.9,185.6,272.5,166.2,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.7,34.9,10,12,10,12,SSE,W,SW,NW,71.9,93,83,80,417,29932
3,Kallakurichi,delux ponni,clay,78,36.4,wet,61,3,133,6,82.28,32.97,48,1851,18.2,21.8,185.3,272.7,165.5,251.5,60.1,64.9,18.2,31,15.7,33,15.2,32.0,15.1,31.9,6,6,8,7,W,ENE,NE,S,86.3,88,87,87,275,19016
3,Cuddalore,CO_43,clay,81,42.9,dry,64,3,125,7,96.46,30.2,47,2109,19.4,20.6,187.1,270.9,166.9,250.1,60.9,64.1,19.8,34,18.0,32,17.0,32.6,16.7,32.1,8,9,9,10,SSE,S,NNW,WSW,67.1,87,86,84,298,20559
4,Chinnasalem,CO_43,alluvial,96,48.8,wet,76,4,172,8,111.51,39.98,58,2310,18.2,21.8,186.1,272.2,166.3,250.7,60.4,64.5,18.5,31,16.6,33,15.7,33.5,15.3,31.6,9,6,9,11,E,ENE,NE,NNW,71.0,83,89,87,265,22957
3,Sankarapuram,ponmani,alluvial,71,36.6,dry,59,3,121,6,88.41,31.36,47,1791,18.2,21.8,185.7,272.3,166.1,250.9,60.3,64.7,19.1,32,16.2,31,16.3,33.4,15.8,33.5,7,10,8,11,SSE,NE,NE,NW,74.7,84,89,85,259,17862
5,Kurinjipadi,ponmani,alluvial,122,58.3,wet,92,5,197,9,134.09,52.99,73,2844,18.2,21.8,186.1,271.9,166.5,250.6,60.4,64.6,20.3,32,17.6,30,17.7,33.9,16.2,34.0,10,11,10,12,SSE,W,SW,NW,68.6,87,85,83,447,30754
3,Chinnasalem,delux ponni,clay,80,37.4,wet,59,3,123,6,72.13,31.62,44,1804,18.3,21.7,185.7,272.3,166.0,251.0,60.2,64.7,18.4,32,16.0,32,15.4,32.7,15.7,32.5,5,8,7,10,E,ENE,NE,NNW,79.6,85,90,86,265,17835
2,Cuddalore,CO_43,alluvial,65,30.5,dry,49,2,110,5,65.24,26.18,39,1559,19.5,20.5,187.1,271.0,166.9,250.1,60.9,64.0,19.2,33,17.3,32,16.4,31.9,16.3,32.1,7,7,9,8,NW,S,SE,WSW,68.7,82,86,85,253,14142
5,Kurinjipadi,delux ponni,clay,113,53.6,wet,91,5,185,9,119.6,47.94,66,2723,19.5,20.5,187.2,270.8,167.0,250.0,61.0,64.0,19.6,34,18.3,34,17.0,32.6,16.5,30.8,9,5,10,7,SW,S,SE,SSE,65.5,85,86,85,391,28404
3,Cuddalore,delux ponni,clay,82,39.8,wet,64,3,132,7,84.42,33.39,47,1991,19.1,20.8,186.5,271.4,166.6,250.4,60.6,64.2,19.2,33,16.7,31,16.2,31.9,16.1,33.2,6,9,8,9,SW,W,NNW,W,76.2,84,86,84,277,20413
5,Panruti,delux ponni,clay,122,59.2,dry,90,5,174,8,129.11,48.27,69,2692,19.3,20.9,186.1,271.9,166.2,251.0,60.5,64.7,19.6,35,17.9,32,17.1,32.8,17.5,31.9,4,10,5,10,ENE,NE,NNE,W,76.9,92,85,81,361,28849
4,Kurinjipadi,ponmani,alluvial,98,47.9,wet,75,4,146,7,99.22,38.15,59,2212,19.5,20.5,187.2,270.9,167.0,250.0,61.0,64.0,19.4,34,18.4,35,16.8,32.6,16.0,30.7,10,4,10,6,NW,S,SE,SSE,65.3,85,85,87,321,21977
3,Kallakurichi,ponmani,alluvial,79,40.9,dry,61,3,137,7,92.12,35.65,49,2008,18.4,21.6,185.8,272.2,166.0,250.8,60.3,64.7,19.1,32,16.7,32,16.4,32.9,15.6,32.5,9,7,9,9,SSE,ENE,SE,NNW,76.9,87,86,85,309,20869
2,Sankarapuram,ponmani,clay,52,26.2,dry,43,2,89,4,56.81,23.95,31,1196,18.6,21.4,186.2,271.8,166.3,250.5,60.5,64.4,19.9,32,17.6,32,17.0,33.4,16.0,33.0,9,8,9,10,SSE,S,SW,NW,71.4,88,85,84,190,12148
4,Kallakurichi,delux ponni,clay,94,42.7,wet,67,3,140,7,80.85,38.65,52,2159,18.6,21.3,185.8,272.1,165.9,251.0,60.3,64.7,19.2,33,16.9,31,16.5,32.4,16.2,33.1,7,8,8,9,ENE,WNW,NNE,W,79.6,88,86,84,306,21367
3,Panruti,CO_43,alluvial,69,35.7,wet,53,3,124,6,67.94,30.35,40,1619,18.9,20.9,185.7,272.1,165.9,251.2,60.3,64.6,19.3,35,17.1,31,16.6,32.6,17.3,32.7,4,11,5,11,ENE,NE,NNE,W,79.9,89,87,82,278,18049
2,Panruti,CO_43,clay,43,22.3,wet,37,2,67,3,48.47,17.18,26,995,18.7,21.5,185.6,272.4,165.7,251.4,60.2,64.8,18.9,33,16.7,32,16.0,32.4,16.7,32.5,5,8,6,9,ENE,NE,NNE,W,81.3,91,87,83,167,10843
4,Cuddalore,CO_43,clay,97,49.2,dry,77,4,141,7,100.8,38.68,57,2253,18.5,21.5,186.4,271.8,166.4,250.5,60.5,64.5,18.4,32,16.1,33,15.4,32.4,15.5,32.3,6,7,8,10,E,S,NE,NNW,75.7,82,90,87,333,23531
2,Kurinjipadi,CO_43,alluvial,56,28.5,dry,45,2,96,4,64.82,24.78,31,1348,18.5,21.5,186.1,272.1,166.2,250.7,60.4,64.5,19.2,33,17.3,33,16.5,33.4,16.2,31.8,8,9,7,10,ENE,ENE,NE,NNW,71.6,87,88,84,196,13991
4,Chinnasalem,delux ponni,clay,93,45.6,wet,78,4,143,7,102.77,35.26,57,2149,18.1,21.9,185.3,272.7,165.5,251.5,60.1,64.9,18.3,32,15.9,33,15.4,32.6,15.3,32.1,6,7,7,8,E,WNW,NE,NNW,83.8,90,88,86,355,21535
2,Cuddalore,ponmani,clay,46,24.9,dry,40,2,79,4,61.67,21.18,30,1123,19.4,20.6,187.0,271.1,166.8,250.3,60.9,64.2,19.1,34,16.6,31,16.3,31.6,16.3,33.2,5,9,8,9,SW,W,NNW,WSW,73.4,83,85,84,204,12174
4,Kurinjipadi,CO_43,clay,93,47.4,dry,74,4,137,7,101.91,36.96,55,2261,19.5,20.5,187.1,270.9,166.9,250.1,61.0,64.0,19.3,33,18.3,35,16.7,32.5,15.9,30.7,10,4,10,6,NW,S,SE,SSE,66.0,87,85,87,350,23618
4,Panruti,delux ponni,clay,97,47.5,wet,79,4,154,8,109.36,40.69,59,2342,18.7,21.3,185.6,272.4,165.7,251.3,60.3,64.7,19.4,34,17.5,32,16.8,32.5,16.5,32.3,7,8,7,8,ENE,ENE,SE,W,79.8,91,84,83,339,24109
5,Kallakurichi,delux ponni,alluvial,135,67.6,dry,104,5,214,11,144.98,56.25,80,3158,19.3,20.7,186.7,271.4,166.6,250.3,60.7,64.3,19.0,33,16.9,32,16.3,31.7,16.0,32.5,6,7,8,8,NW,S,SE,WSW,76.0,85,85,84,499,33925
4,Cuddalore,ponmani,alluvial,112,53.2,dry,84,4,176,9,106.35,45.85,64,2421,19.4,20.6,187.1,271.0,166.9,250.1,60.9,64.1,19.1,33,17.1,32,16.3,32.2,16.2,32.1,6,7,8,8,NW,W,NNW,SSE,71.9,83,86,85,400,23831
3,Chinnasalem,CO_43,clay,70,40.2,wet,68,3,148,7,82.79,33.74,42,1936,18.2,21.8,185.7,272.3,165.9,251.1,60.3,64.7,18.3,32,15.9,32,15.4,33.2,15.5,32.2,6,8,7,11,E,ENE,NE,NNW,77.3,82,91,86,266,19445
5,Panruti,CO_43,alluvial,120,60.9,dry,97,5,188,10,127.14,50.63,74,2780,18.6,21.4,185.8,272.3,166.0,251.0,60.3,64.7,19.8,34,17.5,30,17.1,33.1,17.1,33.5,6,11,7,11,ENE,NE,NNE,W,74.8,89,86,81,415,28317
3,Chinnasalem,CO_43,clay,84,42.3,wet,67,3,129,7,93.45,34.79,50,1951,18.2,21.9,185.9,272.1,166.2,250.9,60.3,64.7,18.4,32,15.9,32,15.5,33.1,15.4,32.2,7,7,8,10,E,ENE,NE,NNW,74.2,82,91,87,295,22397
5,Chinnasalem,ponmani,clay,127,61.3,wet,103,5,204,10,135.97,54.19,75,3021,18.4,21.6,185.8,272.1,166.1,250.9,60.3,64.7,18.7,32,16.2,32,15.8,32.6,15.7,32.4,6,8,7,10,E,ENE,NE,NNW,77.7,84,89,85,480,31437
5,Panruti,ponmani,alluvial,124,61.8,wet,98,5,200,10,136.58,52.85,76,2824,18.6,21.4,186.0,272.1,166.1,251.0,60.4,64.6,19.8,34,17.7,32,17.0,33.3,17.1,32.0,6,10,7,11,ENE,S,NNE,W,72.1,91,87,81,444,30352
3,Chinnasalem,ponmani,clay,60,29.7,dry,56,2,101,5,71.09,23.93,40,1634,18.2,21.9,185.3,272.7,165.6,251.4,60.1,65.0,18.4,32,16.1,33,15.7,32.9,15.5,32.1,6,8,7,9,E,ENE,NE,NNW,83.3,90,89,85,245,15851
